measure_time,tx_hash,in/outFlag
2024-01-17 13:06:35.36141,5309665ed0e8bd0bf86ed461acbe700119cab48e005202501129f5b67ce8c03f,in
2024-01-17 13:06:35.36227,6d1a10e26d23c789484bbf1b52b6d96bf95384300e09f0f14f09aca644c9783a,in
2024-01-17 13:06:35.36247,8ae0c1dee75540af5ed41306dde156566b7096b0027c2e5350267b9e1f05ee69,in
2024-01-17 13:06:35.36295,3477504e491fc49882f9b1f0484d65848b6c6d01264ef66b0152e4b2d999b81b,in
2024-01-17 13:06:35.36315,b8f17642d3a010ce858f1596d0744c182e1cf83e0b060d8f043d3c9ecbb1f8ac,in
2024-01-17 13:06:35.36329,d2333219583a3bbe774b7829f3799a27e998594f9ff6786f79241c2a0d110dd1,in
2024-01-17 13:06:35.36512,f507fbd4a268b35ad4a2c2bf76ad14992577ada81631d01b28be70e52bb4ed5b,in
2024-01-17 13:06:35.36616,ac1a0c0e1f88f4b086e740e9a9dba14ead4140331081755fd9dd010c69d72362,in
2024-01-17 13:06:35.36673,d72645754769286e7b59660b3c77f06fd36eb82401651601d4a5ce0d14d50c1a,in
2024-01-17 13:06:35.36709,cb3fc2a0477d97b6f090f04af5c6c1264ea48b105dfbdc987abe8795d09b1862,in
2024-01-17 13:06:35.36888,7628d9260e705f7a4fe2a13f6bf9df4d1687557d5160159e1f06b4d7025901f9,in
2024-01-17 13:06:35.37306,d440672a7f28c384fff85bbe18a090d26fed2dcc514d7849f31b7f0afe0f00fe,in
2024-01-17 13:06:35.37572,a31d55604303ca161cc54d9a0ee95964a4be0374f0bdc319f99da249d69cb7a9,in
2024-01-17 13:06:35.37590,279f7aac0cd122a4b35c2e1c3f7bbb64249a71e3a56b3214306ac1335411ffc7,in
2024-01-17 13:06:35.37608,83cdcabe428c48d0908451b5768b3bfd6936355aa40fdbe043a3b2cbfde9f455,in
2024-01-17 13:06:35.37624,89fb69df98c92b575e344a3e36648f1d586debd0856d8a67f6dc24c582d68acb,in
2024-01-17 13:06:35.37800,a81090c8eaa234874b7408d55492b3a28f9049a97b77adb5d8b37c9c861ad176,in
2024-01-17 13:06:35.37827,ffd13ebf1a6f9863a70f0c9400099cc7440906885892c49b64e6cb055264d017,in
2024-01-17 13:06:35.37871,3269248f0c0fa2ceff3f699cff91efd4d3d42c405236bfc37a045385e497693d,in
2024-01-17 13:06:35.37962,1895e698c5df17ba2fe6b1eec3f7370dbe2931a55e49757db135edaec7e02d69,in
2024-01-17 13:06:35.38018,e62d82116e442400ce5f095d1e43cba601ee5ebc98bcd058ca26b1428e7317bd,in
2024-01-17 13:06:35.38038,ed02064d3e34d1ce81a38fbfd7702b6955fac168e63b2971318d26119221c59f,in
2024-01-17 13:06:35.38207,623249790c52911e4a30cd020dddf09140a589b696df630785d33299df26a6f5,in
2024-01-17 13:06:35.38222,0fffa68735bd5c9a17b34911bf12b3cf90c206c28906b4b0bf4f60aa51480a8d,in
2024-01-17 13:06:35.38378,48482fbbe12b892f6c4b2abd6b7d11c3dd639b53b6a9bdd3ff2258eb07ccb4b0,in
