measure_time,action_type,message_type,message_size
2024-01-17 13:05:39.28800,Received,P2P,206
2024-01-17 13:05:39.29648,Received,Channel,106
2024-01-17 13:05:39.29668,Send,Channel,83
2024-01-17 13:05:39.29872,Received,Channel,103
2024-01-17 13:05:39.29887,Send,Channel,81
2024-01-17 13:05:39.95593,Sent,P2P,17
2024-01-17 13:05:39.96781,Received,P2P,17
2024-01-17 13:05:39.96810,Sent,P2P,17
2024-01-17 13:05:39.96865,Received,P2P,17
2024-01-17 13:05:39.96887,Received,P2P,17
2024-01-17 13:05:39.96903,Sent,P2P,17
2024-01-17 13:05:39.96914,Sent,P2P,17
2024-01-17 13:05:39.96926,Received,P2P,17
2024-01-17 13:05:39.96973,Received,P2P,16
2024-01-17 13:05:39.96983,Sent,P2P,16
2024-01-17 13:05:39.96995,Received,P2P,16
2024-01-17 13:05:39.97005,Sent,P2P,16
2024-01-17 13:05:39.97015,Received,P2P,16
2024-01-17 13:05:39.97023,Received,P2P,16
2024-01-17 13:05:39.97032,Sent,P2P,33
2024-01-17 13:05:39.97026,Sent,P2P,33
2024-01-17 13:05:39.97034,Sent,P2P,33
2024-01-17 13:05:39.97051,Sent,P2P,33
2024-01-17 13:05:39.97059,Received,P2P,33
2024-01-17 13:05:39.97076,Received,P2P,33
2024-01-17 13:05:40.09741,Sent,P2P,93
2024-01-17 13:05:40.10650,Received,P2P,93
2024-01-17 13:05:40.19857,Sent,P2P,93
2024-01-17 13:05:40.19920,Sent,P2P,93
2024-01-17 13:05:40.19954,Sent,P2P,93
2024-01-17 13:05:40.20322,Received,P2P,93
2024-01-17 13:05:40.21902,Received,P2P,93
2024-01-17 13:05:40.22044,Received,P2P,93
2024-01-17 13:05:40.29313,Received,P2P,93
2024-01-17 13:05:40.29337,Received,P2P,990
2024-01-17 13:05:40.29413,Sent,P2P,93
2024-01-17 13:05:40.29426,Sent,P2P,93
2024-01-17 13:05:40.29435,Sent,P2P,93
2024-01-17 13:05:40.29450,Sent,P2P,206
2024-01-17 13:05:40.29458,Sent,P2P,206
2024-01-17 13:05:40.29456,Received,P2P,93
2024-01-17 13:05:40.29465,Sent,P2P,206
2024-01-17 13:05:40.29470,Received,P2P,93
2024-01-17 13:05:40.29533,Received,P2P,206
2024-01-17 13:05:40.29554,Received,P2P,206
2024-01-17 13:05:40.29650,Received,P2P,206
2024-01-17 13:05:40.73483,Received,Channel,57
2024-01-17 13:05:40.73535,Send,Channel,58
2024-01-17 13:05:41.20456,Sent,P2P,93
2024-01-17 13:05:41.20497,Sent,P2P,93
2024-01-17 13:05:41.20518,Sent,P2P,93
2024-01-17 13:05:41.20881,Received,P2P,93
